Zip Code,Latitude,Longitude,POSITIVES,PERCENT_POSI,DEGREES,ENROLLS,ELDER,WHITES,BLACKS,ASIANS,MINORITIES,MED_INCOMES,MEAN_INCOMES,POVERTY,UNEMPLOYMENT
10304,40.606031,-74.086625,1293,39.18,31.5,26.7,18.4,52.1,27.5,9.7,37.2,52199.0,90003.0,21.5,6.8
10305,40.6091091,-74.0760798,1137,35.99,33.6,29.2,19.1,73.7,6.5,13.0,19.5,76489.0,91033.0,12.9,6.1
10306,40.5758591,-74.140513,1361,33.4,29.6,31.8,22.0,85.7,3.3,5.9,9.2,79569.0,96939.0,9.9,4.4
10307,40.5163638,-74.2443719,360,34.19,37.5,27.2,15.0,93.8,0.4,2.7,3.1,80893.0,113474.0,7.1,5.2
10308,40.5519589,-74.1506991,598,31.77,36.0,29.9,22.5,92.1,1.1,5.0,6.1,93963.0,108491.0,5.9,6.5
10309,40.5217455,-74.2000939,796,33.36,33.6,22.2,19.2,91.8,0.9,3.6,4.5,103175.0,121733.0,9.2,2.9
10310,40.6319235,-74.1165018,684,36.17,34.1,22.6,17.6,59.0,20.8,6.3,27.1,72093.0,90754.0,19.1,4.7
10312,40.5436525,-74.1683005,1413,34.36,34.5,27.6,21.0,91.1,1.3,5.4,6.7,95064.0,112310.0,6.5,4.6
10314,40.6017816,-74.1632325,2484,36.81,33.8,29.3,21.1,73.1,4.2,16.6,20.8,86742.0,103927.0,9.5,4.5
10451,40.8277457,-73.9116841,1469,41.9,19.5,27.9,15.1,12.5,40.5,1.2,41.7,28921.0,49434.0,35.5,8.6
10452,40.8401201,-73.9211117,2080,42.34,14.2,23.9,10.1,12.6,33.2,1.5,34.7,28277.0,39896.0,37.2,10.3
10453,40.8523439,-73.9119696,2117,43.08,12.7,22.6,10.7,8.6,32.4,1.3,33.7,25275.0,37719.0,40.5,12.0
10454,40.8077342,-73.9182295,1022,38.93,7.9,19.0,10.5,13.2,31.7,0.5,32.2,21149.0,35479.0,45.9,12.4
10455,40.8154616,-73.9088648,1143,42.33,11.8,21.5,11.3,12.3,30.3,1.3,31.6,26801.0,40090.0,39.6,12.7
10456,40.8297752,-73.9086019,2240,40.69,12.8,22.9,11.6,10.8,42.5,0.9,43.4,27106.0,43257.0,38.7,13.3
10457,40.8479642,-73.8977096,1881,41.64,12.7,19.1,11.1,15.4,40.2,0.9,41.1,27420.0,41485.0,38.1,12.1
10458,40.861562,-73.8887772,1834,40.95,14.3,34.0,10.4,17.7,19.9,3.0,22.9,33932.0,48427.0,35.3,13.2
10459,40.8260557,-73.8940839,1369,45.14,13.9,22.5,12.5,11.6,34.4,0.8,35.2,27687.0,43297.0,34.3,9.3
10460,40.8401493,-73.8786246,1478,42.58,12.0,24.6,13.9,15.7,30.3,1.6,31.9,26866.0,41120.0,36.7,14.4
10461,40.8400861,-73.8797613,1751,38.79,28.1,32.2,18.3,48.2,9.4,11.1,20.5,56612.0,73335.0,14.8,7.8
10462,40.8429007,-73.8579519,2087,40.4,25.6,30.6,15.2,23.2,28.3,12.6,40.9,52409.0,63952.0,19.5,10.5
10463,40.8847181,-73.8872485,1731,37.79,40.4,31.8,22.9,45.0,15.1,3.7,18.8,58551.0,83674.0,17.2,7.7
